id,latin,family,category,origin,climate,common,tempmax_celsius,tempmin_celsius,ideallight,toleratedlight,watering,use,normalized_light_need,supports_direct_sun,supports_diffused_light,supports_bright_light,light_flexibility,indoor_use_score,temp_context_score,plant_group,direct_sun_min_h_day,direct_sun_max_h_day,preferred_shadow_min_h_day,preferred_shadow_max_h_day,lux_min,lux_max,humidity_min_percent,humidity_max_percent,soil_moisture_class_0_4,drought_tolerance_0_1,sun_center_h_day,sun_range_h_day,shadow_center_h_day,shadow_range_h_day,lux_center,lux_range,humidity_center_percent,humidity_range_percent,temp_preferred_min_c,temp_preferred_max_c,temp_preferred_center_c,temp_preferred_range_c,plant_variety_cluster,plant_cluster_label,plant_light_index,bridge_cluster_id,bridge_cluster_label
0,Aeschynanthus lobianus,Gesneriaceae,Hanging,Java,Tropical,Lipstick,32,14,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Hanging; Flower; Tertiary,high_light,1,0,1,1,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,14,32,23.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
1,Adiantum raddianum,Polypodiaceae,Fern,Brazil,Tropical,Maindenhair; Delta maidenhair,30,12,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Ground cover; Table top,shade_tolerant,0,1,1,1,3,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,4.0,0.1,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,12,30,21.0,18,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
2,Aechmea fatsiata,Bromeliaceae,Bromeliad,Brazil,Tropical humid,Silver vase,30,12,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
3,Agave angustilolia Marginata,Amaryllidaceae,Cactus And Succulent,India,Tropical,Variegated Carabbean Agave; Century plant,35,5,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,35,20.0,30,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
4,Aechmea ramosa,Bromeliaceae,Bromeliad,Brazil,Subtropical,Coral berry,30,12,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
5,Aechmea fasciata,Bromeliaceae,Bromeliad,Hybrid,Tropical humid,Silver vase,30,12,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
6,Agave filifera,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Thread Agave; Century plant,35,5,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,35,20.0,30,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
7,Adiantum hispidulum,Polypodiaceae,Fern,Australia & New Guinea,Tropical,Rosy Maidenhair; Autralian maidenhair,30,12,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,shade_tolerant,0,1,1,1,2,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,60.0,90.0,4.0,0.1,0.5,1.0,8.0,2.0,4250.0,7500.0,75.0,30.0,12,30,21.0,18,5,cluster_5,0.020833333333333332,3,bridge_cluster_3
8,Agave attenuata,Amaryllidaceae,Cactus And Succulent,Mexico,Arid Tropical,Dragon tree Agave; Century plant,35,5,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,5,35,20.0,30,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
9,Aglaonema,Araceae,Aglaonema,Hybrid,Tropical,Chinese Evergreen; Amelia,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,shade_tolerant,0,1,1,1,1,2,shade_tolerant,0.0,1.0,7.0,9.0,500.0,8000.0,45.0,75.0,3.5,0.25,0.5,1.0,8.0,2.0,4250.0,7500.0,60.0,30.0,18,28,23.0,10,6,cluster_6,0.020833333333333332,3,bridge_cluster_3
